present_phon	past_phon	freq	present_orth	past_orth	class
wÈet	wÈet«d	5720	wait	waited	reg
sÈEt	sÈEt	5630	set		irreg
kÈeri	kÈerid	5582	carry	carried	reg
wÈk	wÈkt	5552	walk	walked	reg
lÈÕn	lÈÕnd	5524	learn	learned	reg
lÈÕn	lÈÕnt	5524	learn	learnt	irreg
lÈY	lÈe	5362	lie	lay	irreg
fÈalo	fÈalod	5305	follow	followed	reg
lÈid	lÈEd	5292	lead	led	irreg
fÈl	fÈEl	5276	fall	fell	irreg
«pÈir	«pÈird	5226	appear	appeared	reg
ÃndÕstÈQnd	ÃndÕstÈUd	5220	understand	understood	irreg
Èit	Èet	5183	eat	ate	irreg
IkspÈEkt	IkspÈEkt«d	5095	expect	expected	reg
spÈEnd	spÈEnt	5036	spend	spent	irreg
sÈEnd	sÈEnt	4822	send	sent	irreg
«lÈW	«lÈWd	4744	allow	allowed	reg
k«ntÈInju	k«ntÈInjud	4702	continue	continued	reg
rImÈen	rImÈend	4696	remain	remained	reg
pÈQs	pÈQst	4687	pass	passed	reg
pr«vÈYd	pr«vÈYd«d	4664	provide	provided	reg
bÈY	bÈt	4594	buy	bought	irreg
rÈiC	rÈiCt	4577	reach	reached	reg
dIvÈEl«p	dIvÈEl«pt	4492	develop	developed	reg
stÈe	stÈed	4487	stay	stayed	reg
wÈaC	wÈaCt	4483	watch	watched	reg
dIsÈYd	dIsÈYd«d	4479	decide	decided	reg
pr«dÈus	pr«dÈust	4397	produce	produced	reg
wÈer	wÈor	4339	wear	wore	irreg
bÈIld	bÈIlt	4336	build	built	irreg
dÈY	dÈYd	4279	die	died	reg
lÈÃv	lÈÃvd	4277	love	loved	reg
ÈQd	ÈQd«d	4190	add	added	reg
mÈit	mÈEt	4182	meet	met	irreg
InkrÈis	InkrÈist	4140	increase	increased	reg
Èop«n	Èop«nd	4121	open	opened	reg
s«gJÈEst	s«gJÈEst«d	4108	suggest	suggested	reg
brÈek	brÈok	4102	break	broke	irreg
hÈop	hÈopt	4080	hope	hoped	reg
s«pÈoz	s«pÈozd	4071	suppose	supposed	reg
rItÈÕn	rItÈÕnd	3973	return	returned	reg
drÈYv	drÈov	3907	drive	drove	irreg
drÈ	drÈu	3853	draw	drew	irreg
InvÈalv	InvÈalvd	3779	involve	involved	reg
kÈIl	kÈIld	3756	kill	killed	reg
k«nsÈIdÕ	k«nsÈIdÕd	3730	consider	considered	reg
«ksÈEpt	«ksÈEpt«d	3712	accept	accepted	reg
ÈfÕ	ÈfÕd	3672	offer	offered	reg
rÈi«lYz	rÈi«lYzd	3628	realize	realized	reg
IksplÈen	IksplÈend	3606	explain	explained	reg
rÈYz	rÈoz	3486	rise	rose	irreg
kÈQC	kÈt	3459	catch	caught	irreg
«grÈi	«grÈid	3424	agree	agreed	reg
kÈÃt	kÈÃt	3415	cut		irreg
rIkwÈYÕ	rIkwÈYÕd	3391	require	required	reg
pÈIk	pÈIkt	3386	pick	picked	reg
wÈIS	wÈISt	3373	wish	wished	reg
pÈUl	pÈUld	3330	pull	pulled	reg
kÈÃvÕ	kÈÃvÕd	3263	cover	covered	reg
CÈuz	CÈoz	3211	choose	chose	irreg
lÈIs«n	lÈIs«nd	3175	listen	listened	reg
rÈez	rÈezd	3147	raise	raised	reg
wÈÃndÕ	wÈÃndÕd	3083	wonder	wondered	reg
kÈz	kÈzd	3074	cause	caused	reg
«rÈYv	«rÈYvd	3073	arrive	arrived	reg
lÈQf	lÈQft	3058	laugh	laughed	reg
fÕgÈEt	fÕgÈat	3056	forget	forgot	irreg
ÈQnsÕ	ÈQnsÕd	3048	answer	answered	reg
plÈQn	plÈQnd	3013	plan	planned	reg
dIskrÈYb	dIskrÈYbd	2950	describe	described	reg
smÈYl	smÈYld	2892	smile	smiled	reg
kriÈet	kriÈet«d	2870	create	created	reg
TrÈo	TrÈu	2858	throw	threw	irreg
rIsÈiv	rIsÈivd	2835	receive	received	reg
wÈIn	wÈÃn	2762	win	won	irreg
prÈuv	prÈuvd	2674	prove	proved	reg
sÈÕv	sÈÕvd	2669	serve	served	reg
InJÈO	InJÈOd	2656	enjoy	enjoyed	reg
fÈel	fÈeld	2608	fail	failed	reg
sÈEl	sÈold	2596	sell	sold	irreg
JÈOn	JÈOnd	2594	join	joined	reg
tÈiC	tÈt	2558	teach	taught	irreg
drÈap	drÈapt	2551	drop	dropped	reg
fÈYt	fÈt	2549	fight	fought	irreg
fÈors	fÈorst	2535	force	forced	reg
ÈEnd	ÈEnd«d	2524	end	ended	reg
dIskÈÃvÕ	dIskÈÃvÕd	2499	discover	discovered	reg
rÈEk«gnYz	rÈEk«gnYzd	2467	recognize	recognized	reg
fÈIl	fÈIld	2463	fill	filled	reg
fÈes	fÈest	2438	face	faced	reg
fÈid	fÈEd	2379	feed	fed	irreg
IgzÈIst	IgzÈIst«d	2361	exist	existed	reg
pÈOnt	pÈOnt«d	2360	point	pointed	reg
SÈek	SÈUk	2359	shake	shook	irreg
tÈEnd	tÈEnd«d	2336	tend	tended	reg
nÈotIs	nÈotIst	2323	notice	noticed	reg
drÈINk	drÈQNk	2321	drink	drank	irreg
ÈEntÕ	ÈEntÕd	2309	enter	entered	reg
dIskÈÃs	dIskÈÃst	2306	discuss	discussed	reg
slÈip	slÈEpt	2306	sleep	slept	irreg
mÈQnIJ	mÈQnIJd	2289	manage	managed	reg
hÈQN	hÈÃN	2275	hang	hung	irreg
InklÈud	InklÈud«d	2274	include	included	reg
fÈorm	fÈormd	2256	form	formed	reg
fÈInIS	fÈInISt	2248	finish	finished	reg
mÈeri	mÈerid	2245	marry	married	reg
sÈWnd	sÈWnd«d	2245	sound	sounded	reg
k«ntÈen	k«ntÈend	2244	contain	contained	reg
pÈUS	pÈUSt	2235	push	pushed	reg
«kÈÕ	«kÈÕd	2232	occur	occurred	reg
IstÈQblIS	IstÈQblISt	2227	establish	established	reg
ImÈQJ«n	ImÈQJ«nd	2221	imagine	imagined	reg
ÈQkt	ÈQkt«d	2212	act	acted	reg
sÈev	sÈevd	2188	save	saved	reg
kÈer	kÈerd	2175	care	cared	reg
stÈer	stÈerd	2175	stare	stared	reg
lÈe	lÈed	2167	lay	laid	reg
krÈY	krÈYd	2158	cry	cried	reg
klÈoz	klÈozd	2157	close	closed	reg
sÈÃfÕ	sÈÃfÕd	2156	suffer	suffered	reg
sÈik	sÈt	2147	seek	sought	irreg
SÈer	SÈerd	2137	share	shared	reg
Èargju	Èargjud	2130	argue	argued	reg
rIdÈus	rIdÈust	2127	reduce	reduced	reg
«CÈiv	«CÈivd	2121	achieve	achieved	reg
s«pÈort	s«pÈort«d	2114	support	supported	reg
«plÈY	«plÈYd	2111	apply	applied	reg
stÈÃdi	stÈÃdid	2103	study	studied	reg
TÈQNk	TÈQNkt	2063	thank	thanked	reg
«vÈOd	«vÈOd«d	2057	avoid	avoided	reg
rIfjÈuz	rIfjÈuzd	2043	refuse	refused	reg
mÈEnC«n	mÈEnC«nd	2023	mention	mentioned	reg
«kÈord	«kÈord«d	2010	accord	accorded	reg
strÈYk	strÈÃk	1999	strike		irreg
vÈIz«t	vÈIz«t«d	1975	visit	visited	reg
«sÈum	«sÈumd	1968	assume	assumed	reg
tÈÃC	tÈÃCt	1967	touch	touched	reg
InkÈÕIJ	InkÈÕIJd	1925	encourage	encouraged	reg
bÈer	bÈor	1917	bear	bore	irreg
rIpÈort	rIpÈort«d	1882	report	reported	reg
IksprÈEs	IksprÈEst	1874	express	expressed	reg
dÈil	dÈElt	1871	deal	dealt	irreg
rImÈuv	rImÈuvd	1865	remove	removed	reg
dIstrÈO	dIstrÈOd	1860	destroy	destroyed	reg
rIgÈard	rIgÈard«d	1860	regard	regarded	reg
rEprIzÈEnt	rEprIzÈEnt«d	1829	represent	represented	reg
hÈYd	hÈId	1804	hide	hid	irreg
plÈes	plÈest	1802	place	placed	reg
klÈem	klÈemd	1794	claim	claimed	reg
hÈIt	hÈIt	1792	hit		irreg
prIzÈEnt	prIzÈEnt«d	1773	present	presented	reg
trÈit	trÈit«d	1764	treat	treated	reg
«dmÈIt	«dmÈIt«d	1747	admit	admitted	reg
wÈÕi	wÈÕid	1727	worry	worried	reg
flÈY	flÈu	1715	fly	flew	irreg
mentÈen	mentÈend	1713	maintain	maintained	reg
trÈQv«l	trÈQv«ld	1702	travel	travelled	reg
ImprÈuv	ImprÈuvd	1685	improve	improved	reg
stÈIk	stÈÃk	1683	stick	stuck	irreg
prIvÈEnt	prIvÈEnt«d	1676	prevent	prevented	reg
wÈS	wÈSt	1663	wash	washed	reg
klÈYm	klÈYmd	1643	climb	climbed	reg
hÈet	hÈet«d	1643	hate	hated	reg
Intr«dÈus	Intr«dÈust	1626	introduce	introduced	reg
rÈIN	rÈQN	1625	ring	rang	irreg
mÈQtÕ	mÈQtÕd	1622	matter	mattered	reg
sÕvÈYv	sÕvÈYvd	1603	survive	survived	reg
Èon	Èond	1599	own	owned	reg
«rÈenJ	«rÈenJd	1587	arrange	arranged	reg
lÈIft	lÈIft«d	1578	lift	lifted	reg
sprÈEd	sprÈEd	1578	spread		irreg
bÈÕn	bÈÕnd	1577	burn	burned	reg
bÈÕn	bÈÕnt	1577	burn	burnt	irreg
gÈen	gÈend	1567	gain	gained	reg
prÈEs	prÈEst	1567	press	pressed	reg
dIzÈYn	dIzÈYnd	1561	design	designed	reg
k«ntrÈol	k«ntrÈold	1549	control	controlled	reg
pÈÃblIS	pÈÃblISt	1545	publish	published	reg
bÈit	bÈit	1544	beat		irreg
ÈordÕ	ÈordÕd	1541	order	ordered	reg
pr«tÈEkt	pr«tÈEkt«d	1534	protect	protected	reg
mÈIs	mÈIst	1527	miss	missed	reg
rIplÈY	rIplÈYd	1517	reply	replied	reg
k«mpÈer	k«mpÈerd	1511	compare	compared	reg
blÈo	blÈu	1507	blow	blew	irreg
SÈWt	SÈWt«d	1504	shout	shouted	reg
CÈEk	CÈEkt	1488	check	checked	reg
b«lÈN	b«lÈNd	1483	belong	belonged	reg
Èap«ret	Èap«ret«d	1476	operate	operated	reg
prIfÈÕ	prIfÈÕd	1472	prefer	preferred	reg
drÈEs	drÈEst	1467	dress	dressed	reg
dImÈQnd	dImÈQnd«d	1433	demand	demanded	reg
ImÈÕJ	ImÈÕJd	1433	emerge	emerged	reg
sÈEt«l	sÈEt«ld	1428	settle	settled	reg
«prÈoC	«prÈoCt	1427	approach	approached	reg
IntÈEnd	IntÈEnd«d	1425	intend	intended	reg
prIpÈer	prIpÈerd	1423	prepare	prepared	reg
nÈad	nÈad«d	1413	nod	nodded	reg
pÈor	pÈord	1413	pour	poured	reg
rIvÈil	rIvÈild	1412	reveal	revealed	reg
fÈir	fÈird	1410	fear	feared	reg
sÈIN	sÈQN	1407	sing	sang	irreg
«tÈEmpt	«tÈEmpt«d	1404	attempt	attempted	reg
pÕfÈorm	pÕfÈormd	1398	perform	performed	reg
rIflÈEkt	rIflÈEkt«d	1396	reflect	reflected	reg
InsÈIst	InsÈIst«d	1393	insist	insisted	reg
IgzÈQmIn	IgzÈQmInd	1387	examine	examined	reg
gÈEs	gÈEst	1384	guess	guessed	reg
gÈQDÕ	gÈQDÕd	1369	gather	gathered	reg
prÈamIs	prÈamIst	1355	promise	promised	reg
krÈs	krÈst	1353	cross	crossed	reg
rIplÈes	rIplÈest	1349	replace	replaced	reg
ÈInd«ket	ÈInd«ket«d	1348	indicate	indicated	reg
fÈIt	fÈIt	1343	fit	fitted	irreg
«tÈEnd	«tÈEnd«d	1340	attend	attended	reg
SÈut	SÈat	1336	shoot	shot	irreg
«nÈWns	«nÈWnst	1334	announce	announced	reg
IkstÈEnd	IkstÈEnd«d	1330	extend	extended	reg
«fÈEkt	«fÈEkt«d	1323	affect	affected	reg
lÈin	lÈind	1290	lean	leaned	reg
rÈol	rÈold	1287	roll	rolled	reg
pÈent	pÈent«d	1285	paint	painted	reg
kÈUk	kÈUkt	1284	cook	cooked	reg
SÈÃt	SÈÃt	1280	shut		irreg
lÈQst	lÈQst«d	1266	last	lasted	reg
IgnÈor	IgnÈord	1264	ignore	ignored	reg
hÈQnd	hÈQnd«d	1258	hand	handed	reg
«tÈQk	«tÈQkt	1255	attack	attacked	reg
k«lÈEkt	k«lÈEkt«d	1252	collect	collected	reg
«bzÈÕv	«bzÈÕvd	1235	observe	observed	reg
dIs«pÈir	dIs«pÈird	1234	disappear	disappeared	reg
YdÈEnt«fY	YdÈEnt«fYd	1223	identify	identified	reg
strÈEC	strÈECt	1209	stretch	stretched	reg
«btÈen	«btÈend	1207	obtain	obtained	reg
hÈÕt	hÈÕt	1204	hurt		irreg
JÈÃmp	JÈÃmpt	1195	jump	jumped	reg
hÈQnd«l	hÈQnd«ld	1193	handle	handled	reg
k«mbÈYn	k«mbÈYnd	1190	combine	combined	reg
s«ksÈid	s«ksÈid«d	1187	succeed	succeeded	reg
rIpÈit	rIpÈit«d	1182	repeat	repeated	reg
wÈek	wÈok	1181	wake	waked	irreg
bÈEnd	bÈEnt	1179	bend	bended	irreg
dÈQns	dÈQnst	1177	dance	danced	reg
dInÈY	dInÈYd	1172	deny	denied	reg
InvÈYt	InvÈYt«d	1171	invite	invited	reg
dIvÈYd	dIvÈYd«d	1146	divide	divided	reg
pr«pÈoz	pr«pÈozd	1132	propose	proposed	reg
s«spÈEkt	s«spÈEkt«d	1131	suspect	suspected	reg
TrÈEt«n	TrÈEt«nd	1127	threaten	threatened	reg
mÈYnd	mÈYnd«d	1126	mind	minded	reg
kÈWnt	kÈWnt«d	1122	count	counted	reg
«fÈord	«fÈord«d	1119	afford	afforded	reg
Èorg«nYz	Èorg«nYzd	1118	organize	organized	reg
ImplÈO	ImplÈOd	1110	employ	employed	reg
lÈak	lÈakt	1104	lock	locked	reg
tÈer	tÈor	1101	tear	tore	irreg
slÈIp	slÈIpt	1100	slip	slipped	reg
tÈY	tÈYd	1100	tie	tied	reg
rImÈYnd	rImÈYnd«d	1093	remind	reminded	reg
«rÈYz	«rÈoz	1088	arise	arose	irreg
kÈans«ntret	kÈans«ntret«d	1084	concentrate	concentrated	reg
klÈin	klÈind	1083	clean	cleaned	reg
«pÈoz	«pÈozd	1081	oppose	opposed	reg
IskÈep	IskÈept	1079	escape	escaped	reg
rIJÈEkt	rIJÈEkt«d	1074	reject	rejected	reg
nÈot	nÈot«d	1072	note	noted	reg
trÈen	trÈend	1059	train	trained	reg
kÈIs	kÈIst	1056	kiss	kissed	reg
InSÈur	InSÈurd	1051	ensure	ensured	reg
«dÈapt	«dÈapt«d	1048	adopt	adopted	reg
bÈaDÕ	bÈaDÕd	1047	bother	bothered	reg
nÈem	nÈemd	1039	name	named	reg
rIlÈis	rIlÈist	1036	release	released	reg
«kwÈYÕ	«kwÈYÕd	1035	acquire	acquired	reg
rIzÈÃlt	rIzÈÃlt«d	1034	result	resulted	reg
vÈot	vÈot«d	1031	vote	voted	reg
stÈEp	stÈEpt	1030	step	stepped	reg
rÈYd	rÈod	1019	ride	rode	irreg
sÈQtIsfY	sÈQtIsfYd	1016	satisfy	satisfied	reg
vÈeri	vÈerid	1010	vary	varied	reg
swÈIN	swÈÃN	1001	swing	swung	irreg
dIfÈYn	dIfÈYnd	990	define	defined	reg
dIklÈer	dIklÈerd	989	declare	declared	reg
kÈst	kÈst	985	cost	costed	irreg
pÕswÈed	pÕswÈed«d	980	persuade	persuaded	reg
«bÈQnd«n	«bÈQnd«nd	975	abandon	abandoned	reg
tÈEst	tÈEst«d	974	test	tested	reg
ÈÕn	ÈÕnd	973	earn	earned	reg
«trÈQkt	«trÈQkt«d	968	attract	attracted	reg
InÈeb«l	InÈeb«ld	963	enable	enabled	reg
lÈYt	lÈIt	962	light	lighted	irreg
nÈak	nÈakt	961	knock	knocked	reg
k«mÈIt	k«mÈIt«d	958	commit	committed	reg
rIlÈQks	rIlÈQkst	958	relax	relaxed	reg
dYrÈEkt	dYrÈEkt«d	952	direct	directed	reg
rIkÈl	rIkÈld	946	recall	recalled	reg
stÈil	stÈol	941	steal	stole	irreg
rÈEst	rÈEst«d	939	rest	rested	reg
IkspÈiri«ns	IkspÈiri«nst	938	experience	experienced	reg
sÈalv	sÈalvd	938	solve	solved	reg
rIkÈord	rIkÈord«d	936	record	recorded	reg
«sÈosiet	«sÈosiet«d	935	associate	associated	reg
prItÈEnd	prItÈEnd«d	934	pretend	pretended	reg
k«mplÈen	k«mplÈend	927	complain	complained	reg
dItÈÕmIn	dItÈÕmInd	927	determine	determined	reg
rIspÈand	rIspÈand«d	920	respond	responded	reg
s«plÈY	s«plÈYd	920	supply	supplied	reg
swÈip	swÈEpt	915	sweep	swept	irreg
Èakj«pY	Èakj«pYd	911	occupy	occupied	reg
rÈÃS	rÈÃSt	911	rush	rushed	reg
mÈIks	mÈIkst	910	mix	mixed	reg
sÈEp«ret	sÈEp«ret«d	904	separate	separated	reg
stÈet	stÈet«d	904	state	stated	reg
bÈeri	bÈerid	898	bury	buried	reg
sÈINk	sÈQNk	892	sink	sank	irreg
wÈorn	wÈornd	883	warn	warned	reg
klÈir	klÈird	879	clear	cleared	reg
mÈark	mÈarkt	879	mark	marked	reg
«tÈQC	«tÈQCt	878	attach	attached	reg
sÈYn	sÈYnd	877	sign	signed	reg
IkspÈoz	IkspÈozd	875	expose	exposed	reg
s«rÈWnd	s«rÈWnd«d	873	surround	surrounded	reg
prÈQktIs	prÈQktIst	870	practise	practised	reg
skrÈim	skrÈimd	868	scream	screamed	reg
drÈQg	drÈQgd	867	drag	dragged	reg
k«mplÈit	k«mplÈit«d	865	complete	completed	reg
dÈer	dÈerd	861	dare	dared	reg
fÈYÕ	fÈYÕd	860	fire	fired	reg
«kÈÃmp«ni	«kÈÃmp«nid	858	accompany	accompanied	reg
trÈÃst	trÈÃst«d	858	trust	trusted	reg
lÈoÕ	lÈoÕd	854	lower	lowered	reg
drÈY	drÈYd	853	dry	dried	reg
glÈQns	glÈQnst	853	glance	glanced	reg
p«zÈEs	p«zÈEst	850	possess	possessed	reg
smÈEl	smÈEld	850	smell	smelled	reg
smÈEl	smÈElt	850	smell	smelt	irreg
sÈut	sÈut«d	840	suit	suited	reg
dIfÈEnd	dIfÈEnd«d	839	defend	defended	reg
hÈEd	hÈEd«d	838	head	headed	reg
swÈIm	swÈQm	837	swim	swam	irreg
blÈem	blÈemd	834	blame	blamed	reg
dIlÈIvÕ	dIlÈIvÕd	834	deliver	delivered	reg
IkspÈQnd	IkspÈQnd«d	832	expand	expanded	reg
ImplÈY	ImplÈYd	826	imply	implied	reg
bIhÈev	bIhÈevd	825	behave	behaved	reg
dÈEm«nstret	dÈEm«nstret«d	821	demonstrate	demonstrated	reg
SÈIft	SÈIft«d	816	shift	shifted	reg
wÈev	wÈevd	813	wave	waved	reg
sÈÕC	sÈÕCt	810	search	searched	reg
CÈarJ	CÈarJd	808	charge	charged	reg
«prÈuv	«prÈuvd	802	approve	approved	reg
frÈiz	frÈoz	799	freeze	froze	irreg
smÈok	smÈokt	796	smoke	smoked	reg
k«nfÈÕm	k«nfÈÕmd	795	confirm	confirmed	reg
IngÈeJ	IngÈeJd	795	engage	engaged	reg
brÈiD	brÈiDd	791	breathe	breathed	reg
ImpÈoz	ImpÈozd	790	impose	imposed	reg
pÕsÈu	pÕsÈud	786	pursue	pursued	reg
grÈQnt	grÈQnt«d	785	grant	granted	reg
«dmÈYr	«dmÈYrd	783	admire	admired	reg
kÈop	kÈopt	782	cope	coped	reg
strÈÃg«l	strÈÃg«ld	782	struggle	struggled	reg
swÈIC	swÈICt	780	switch	switched	reg
dIstÈÕb	dIstÈÕbd	779	disturb	disturbed	reg
s«lÈEkt	s«lÈEkt«d	778	select	selected	reg
rEk«mÈEnd	rEk«mÈEnd«d	776	recommend	recommended	reg
wITdrÈ	wITdrÈu	775	withdraw	withdrew	irreg
pÕmÈIt	pÕmÈIt«d	773	permit	permitted	reg
«dvÈYz	«dvÈYzd	770	advise	advised	reg
wÈIspÕ	wÈIspÕd	769	whisper	whispered	reg
bÈOl	bÈOld	768	boil	boiled	reg
k«nklÈud	k«nklÈud«d	763	conclude	concluded	reg
dÈamInet	dÈamInet«d	759	dominate	dominated	reg
k«ntrÈIbjut	k«ntrÈIbjut«d	753	contribute	contributed	reg
kÈIk	kÈIkt	753	kick	kicked	reg
lÈINk	lÈINkt	743	link	linked	reg
rIkÈÃvÕ	rIkÈÃvÕd	743	recover	recovered	reg
pÈz	pÈzd	742	pause	paused	reg
rIzÈIst	rIzÈIst«d	739	resist	resisted	reg
kÈQst	kÈQst	737	cast		irreg
stÈÕ	stÈÕd	735	stir	stirred	reg
mÈWnt	mÈWnt«d	730	mount	mounted	reg
rÈÃb	rÈÃbd	729	rub	rubbed	reg
vÈQnIS	vÈQnISt	729	vanish	vanished	reg
kwÈot	kwÈot«d	728	quote	quoted	reg
pr«sÈid	pr«sÈid«d	726	proceed	proceeded	reg
fÈIks	fÈIkst	725	fix	fixed	reg
k«nÈEkt	k«nÈEkt«d	720	connect	connected	reg
sÈort	sÈort«d	719	sort	sorted	reg
JÈÃJ	JÈÃJd	718	judge	judged	reg
prIzÈÕv	prIzÈÕvd	718	preserve	preserved	reg
dÈIg	dÈÃg	716	dig	dug	irreg
hÈÕi	hÈÕid	716	hurry	hurried	reg
rItÈen	rItÈend	706	retain	retained	reg
sÈEns	sÈEnst	706	sense	sensed	reg
ÈltÕ	ÈltÕd	705	alter	altered	reg
ÈInflu«ns	ÈInflu«nst	702	influence	influenced	reg
lÈnC	lÈnCt	702	launch	launched	reg
twÈIst	twÈIst«d	696	twist	twisted	reg
ÈÕJ	ÈÕJd	696	urge	urged	reg
«SÈur	«SÈurd	691	assure	assured	reg
ImprÈEs	ImprÈEst	689	impress	impressed	reg
pÈQk	pÈQkt	688	pack	packed	reg
fÈold	fÈold«d	685	fold	folded	reg
ÈISu	ÈISud	684	issue	issued	reg
bÈÕst	bÈÕst	682	burst		irreg
k«ndÈÃkt	k«ndÈÃkt«d	681	conduct	conducted	reg
«bzÈorb	«bzÈorbd	679	absorb	absorbed	reg
dIsplÈe	dIsplÈed	677	display	displayed	reg
wÈest	wÈest«d	675	waste	wasted	reg
drÈim	drÈEmt	672	dream	dreamed	irreg
wÈYp	wÈYpt	668	wipe	wiped	reg
rIlÈet	rIlÈet«d	666	relate	related	reg
ÈEmf«sYz	ÈEmf«sYzd	664	emphasize	emphasized	reg
dÈQmIJ	dÈQmIJd	662	damage	damaged	reg
JÈEn«ret	JÈEn«ret«d	662	generate	generated	reg
wÈandÕ	wÈandÕd	661	wander	wandered	reg
sÈis	sÈist	659	cease	ceased	reg
rÈul	rÈuld	658	rule	ruled	reg
InfÈorm	InfÈormd	656	inform	informed	reg
lÈQk	lÈQkt	653	lack	lacked	reg
«kjÈuz	«kjÈuzd	648	accuse	accused	reg
fÈed	fÈed«d	643	fade	faded	reg
fÈon	fÈond	643	phone	phoned	reg
sÈÃk	sÈÃkt	643	suck	sucked	reg
mÈEZÕ	mÈEZÕd	641	measure	measured	reg
k«nvÈÕt	k«nvÈÕt«d	637	convert	converted	reg
lÈImIt	lÈImIt«d	635	limit	limited	reg
prÈInt	prÈInt«d	635	print	printed	reg
«drÈEs	«drÈEst	631	address	addressed	reg
Èem	Èemd	631	aim	aimed	reg
rÈQp	rÈQpt	627	wrap	wrapped	reg
dIsmÈIs	dIsmÈIst	626	dismiss	dismissed	reg
slÈYd	slÈId	626	slide	slid	irreg
«prÈiSiet	«prÈiSiet«d	624	appreciate	appreciated	reg
dIlÈYt	dIlÈYt«d	619	delight	delighted	reg
IlÈEkt	IlÈEkt«d	618	elect	elected	reg
flÈo	flÈod	616	flow	flowed	reg
kwÈEsC«n	kwÈEsC«nd	616	question	questioned	reg
IgzÈst	IgzÈst«d	614	exhaust	exhausted	reg
SÈYn	SÈon	614	shine	shone	irreg
«kÈWnt	«kÈWnt«d	613	account	accounted	reg
slÈo	slÈod	613	slow	slowed	reg
dÈWt	dÈWt«d	612	doubt	doubted	reg
«knÈalIJ	«knÈalIJd	611	acknowledge	acknowledged	reg
ÈEst«met	ÈEst«met«d	609	estimate	estimated	reg
sprÈIN	sprÈQN	603	spring	sprang	irreg
sprÈIN	sprÈÃN	603	spring	sprung	irreg
«rÈEst	«rÈEst«d	601	arrest	arrested	reg
grÈQb	grÈQbd	600	grab	grabbed	reg
splÈIt	splÈIt	599	split		irreg
InvÈEnt	InvÈEnt«d	594	invent	invented	reg
swÈalo	swÈalod	594	swallow	swallowed	reg
rIstÈor	rIstÈord	588	restore	restored	reg
fÕgÈIv	fÕgÈev	587	forgive	forgave	irreg
wÈElk«m	wÈElk«md	587	welcome	welcomed	reg
pr«mÈot	pr«mÈot«d	586	promote	promoted	reg
flÈot	flÈot«d	585	float	floated	reg
dIklÈYn	dIklÈYnd	584	decline	declined	reg
pÈart	pÈart«d	579	part	parted	reg
sIkjÈur	sIkjÈurd	579	secure	secured	reg
sÈiz	sÈizd	579	seize	seized	reg
ovÕkÈÃm	ovÕkÈem	578	overcome	overcame	irreg
swÈer	swÈor	576	swear	swore	irreg
k«nsÈil	k«nsÈild	575	conceal	concealed	reg
